N,q,log2_q,fully_split,problem,l_M,k_s,n_c,B,distribution,dist_sd,n_LWE,m_LWE,n_SIS,m_SIS,mode,hiding_attack,hiding_log2_rop,hiding_log2_red,hiding_log2_mem,hiding_bkz_beta,hiding_beta,hiding_tag,binding_attack,binding_norm,binding_log2_rop,binding_bkz_beta,binding_beta,inf_binding_log2_rop,inf_binding_attack,inf_binding_log2_red,inf_binding_log2_mem,inf_binding_d,l2_binding_log2_rop,l2_binding_attack,l2_binding_log2_red,l2_binding_log2_mem,l2_binding_d,opening_length,random_length,s_SW,smallwood_rows,range_degree,range_grade,accepted,rejection_reason,notes
512,1054721,20.008,true,commitment_hiding+binding,1,1,1,8,uniform,4.89898,512,512,512,1536,rough,usvp,78.548,78.548,,1019,269,usvp,,,,,,,,,,,,,,,,1536,1024,16,96.000,17,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,1,16,uniform,9.5219,512,512,512,1536,rough,usvp,93.440,93.440,,1023,320,usvp,,,,,,,,,,,,,,,,1536,1024,16,96.000,33,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,2,8,uniform,4.89898,512,1024,1024,2048,rough,usvp,76.504,76.504,,1153,262,usvp,,,,,,,,,,,,,,,,2048,1536,16,128.000,17,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,2,16,uniform,9.5219,512,1024,1024,2048,rough,usvp,89.060,89.060,,1182,305,usvp,,,,,,,,,,,,,,,,2048,1536,16,128.000,33,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,3,8,uniform,4.89898,512,1536,1536,2560,rough,usvp,76.504,76.504,,1153,262,usvp,,,,,,,,,,,,,,,,2560,2048,16,160.000,17,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,3,16,uniform,9.5219,512,1536,1536,2560,rough,usvp,89.060,89.060,,1182,305,usvp,,,,,,,,,,,,,,,,2560,2048,16,160.000,33,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,4,8,uniform,4.89898,512,2048,2048,3072,rough,usvp,76.504,76.504,,1153,262,usvp,,,,,,,,,,,,,,,,3072,2560,16,192.000,17,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,4,16,uniform,9.5219,512,2048,2048,3072,rough,usvp,89.060,89.060,,1182,305,usvp,,,,,,,,,,,,,,,,3072,2560,16,192.000,33,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,5,8,uniform,4.89898,512,2560,2560,3584,rough,usvp,76.504,76.504,,1153,262,usvp,,,,,,,,,,,,,,,,3584,3072,16,224.000,17,direct,no,hiding below target; binding failed,
512,1054721,20.008,true,commitment_hiding+binding,1,1,5,16,uniform,9.5219,512,2560,2560,3584,rough,usvp,89.060,89.060,,1182,305,usvp,,,,,,,,,,,,,,,,3584,3072,16,224.000,33,direct,no,hiding below target; binding failed,
